route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
10781.1,198,,B 6098 CÍVIS,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
10787.,198,S70,,,2,,00AFF0,FFFFFF
10788.,198,S70,,,2,,00AFF0,FFFFFF
10789.,198,S70,,,2,,00AFF0,FFFFFF
1079.,198,S10,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
1080.,198,S10,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
10803.,198,,IC 702 NAPFÉNY,,2,,,
10804.,198,,IC 728 NAPFÉNY,,2,,,
1081.,198,S10,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
1082.,198,S10,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
1083.,198,S10,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
1085.,198,S74,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
1086.,198,S74,,,2,,00AEF0,FFFFFF
10906.,198,,17008 ,,2,,,
1092.,198,S74,,,2,,00AEF0,FFFFFF
1094.,198,S74,,,2,,00AEF0,FFFFFF
1095.,198,S74,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
1096.,198,S74,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
10961.,198,,IC 736 NAPFÉNY,,2,,,
1097.,198,S74,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
1102.,198,Z72,,,2,,3C3C3C,FFCD28
11025.,198,,IC 726 NAPFÉNY,,2,,,
11026.,198,,IC 726 NAPFÉNY,,2,,,
1103.,198,Z72,,,2,,3C3C3C,FFCD28
1105.,198,Z72,,,2,,3C3C3C,FFCD28
1106.,198,Z72,,,2,,3C3C3C,FFCD28
1107.,198,Z72,,,2,,3C3C3C,FFCD28
11078.,198,,IC 700 NAPFÉNY,,2,,,
11079.,198,,IC 700 NAPFÉNY,,2,,,
11080.,198,,IC 700 NAPFÉNY,,2,,,
11081.,198,,IC 700 NAPFÉNY,,2,,,
11082.,198,,IC 700 NAPFÉNY,,2,,,
11083.,198,,IC 700 NAPFÉNY,,2,,,
11088.,198,,IC 736 NAPFÉNY,,2,,,
11089.,198,,IC 714 NAPFÉNY,,2,,,
11090.,198,,IC 704 NAPFÉNY,,2,,,
11091.,198,,IC 704 NAPFÉNY,,2,,,
11094.,198,,IC 734 NAPFÉNY,,2,,,
11095.,198,,IC 734 NAPFÉNY,,2,,,
1110.,198,Z72,,,2,,3C3C3C,FFCD28
11113.,198,,IC 722 NAPFÉNY,,2,,,
11118.,198,,IC 712 NAPFÉNY,,2,,,
11119.,198,,IC 712 NAPFÉNY,,2,,,
1112.,198,Z72,,,2,,3C3C3C,FFCD28
11124.,198,,IC 716 NAPFÉNY,,2,,,
11125.,198,,IC 716 NAPFÉNY,,2,,,
1113.,198,Z72,,,2,,3C3C3C,FFCD28
11130.,198,,IC 706 NAPFÉNY,,2,,,
11131.,198,,IC 706 NAPFÉNY,,2,,,
11136.,198,,IC 714 NAPFÉNY,,2,,,
11137.,198,,IC 714 NAPFÉNY,,2,,,
11142.,198,,IC 704 NAPFÉNY,,2,,,
11143.,198,,IC 704 NAPFÉNY,,2,,,
11148.,198,,IC 702 NAPFÉNY,,2,,,
1115.,198,Z72,,,2,,3C3C3C,FFCD28
11153.,198,,IC 708 NAPFÉNY,,2,,,
11154.,198,,IC 708 NAPFÉNY,,2,,,
11155.,198,,IC 708 NAPFÉNY,,2,,,
11159.,198,,IC 708 NAPFÉNY,,2,,,
1116.,198,Z72,,,2,,3C3C3C,FFCD28
11160.,198,,IC 708 NAPFÉNY,,2,,,
1117.,198,Z72,,,2,,3C3C3C,FFCD28
11177.,198,,IC 736 NAPFÉNY,,2,,,
11178.,198,,IC 734 NAPFÉNY,,2,,,
11179.,198,,IC 734 NAPFÉNY,,2,,,
1118.,198,Z72,,,2,,3C3C3C,FFCD28
11180.,198,,IC 734 NAPFÉNY,,2,,,
11181.,198,,IC 734 NAPFÉNY,,2,,,
11182.,198,,IC 734 NAPFÉNY,,2,,,
11183.,198,,IC 732 NAPFÉNY,,2,,,
11184.,198,,IC 732 NAPFÉNY,,2,,,
11185.,198,,IC 732 NAPFÉNY,,2,,,
11186.,198,,IC 732 NAPFÉNY,,2,,,
11187.,198,,IC 732 NAPFÉNY,,2,,,
11188.,198,,IC 724 NAPFÉNY,,2,,,
11189.,198,,IC 724 NAPFÉNY,,2,,,
1119.,198,Z72,,,2,,3C3C3C,FFCD28
11190.,198,,IC 724 NAPFÉNY,,2,,,
11191.,198,,IC 724 NAPFÉNY,,2,,,
11192.,198,,IC 724 NAPFÉNY,,2,,,
11193.,198,,IC 722 NAPFÉNY,,2,,,
11194.,198,,IC 722 NAPFÉNY,,2,,,
11195.,198,,IC 722 NAPFÉNY,,2,,,
11196.,198,,IC 722 NAPFÉNY,,2,,,
11197.,198,,IC 722 NAPFÉNY,,2,,,
11198.,198,,IC 712 NAPFÉNY,,2,,,
11199.,198,,IC 712 NAPFÉNY,,2,,,
1120.,198,Z72,,,2,,3C3C3C,FFCD28
11200.,198,,IC 712 NAPFÉNY,,2,,,
11201.,198,,IC 712 NAPFÉNY,,2,,,
11202.,198,,IC 712 NAPFÉNY,,2,,,
11203.,198,,IC 716 NAPFÉNY,,2,,,
11204.,198,,IC 716 NAPFÉNY,,2,,,
11205.,198,,IC 716 NAPFÉNY,,2,,,
11206.,198,,IC 716 NAPFÉNY,,2,,,
11207.,198,,IC 716 NAPFÉNY,,2,,,
11208.,198,,IC 706 NAPFÉNY,,2,,,
11209.,198,,IC 706 NAPFÉNY,,2,,,
1121.,198,Z72,,,2,,3C3C3C,FFCD28
11210.,198,,IC 706 NAPFÉNY,,2,,,
11211.,198,,IC 706 NAPFÉNY,,2,,,
11212.,198,,IC 706 NAPFÉNY,,2,,,
11213.,198,,IC 714 NAPFÉNY,,2,,,
11214.,198,,IC 714 NAPFÉNY,,2,,,
11215.,198,,IC 714 NAPFÉNY,,2,,,
11216.,198,,IC 714 NAPFÉNY,,2,,,
11217.,198,,IC 718 NAPFÉNY,,2,,,
11218.,198,,IC 718 NAPFÉNY,,2,,,
11219.,198,,IC 718 NAPFÉNY,,2,,,
1122.,198,Z72,,,2,,3C3C3C,FFCD28
11220.,198,,IC 704 NAPFÉNY,,2,,,
11221.,198,,IC 704 NAPFÉNY,,2,,,
11222.,198,,IC 704 NAPFÉNY,,2,,,
11223.,198,,IC 702 NAPFÉNY,,2,,,
11224.,198,,IC 702 NAPFÉNY,,2,,,
11228.,198,,IC 732 NAPFÉNY,,2,,,
11229.,198,,IC 732 NAPFÉNY,,2,,,
1123.,198,Z72,,,2,,3C3C3C,FFCD28
11234.,198,,IC 724 NAPFÉNY,,2,,,
11235.,198,,IC 724 NAPFÉNY,,2,,,
1124.,198,Z72,,,2,,3C3C3C,FFCD28
11240.,198,,IC 722 NAPFÉNY,,2,,,
11241.,198,,IC 718 NAPFÉNY,,2,,,
11242.,198,,IC 718 NAPFÉNY,,2,,,
11243.,198,,IC 728 NAPFÉNY,,2,,,
11244.,198,,IC 728 NAPFÉNY,,2,,,
11245.,198,,IC 728 NAPFÉNY,,2,,,
11246.,198,,IC 728 NAPFÉNY,,2,,,
11248.,198,S20,,,2,,00AFF0,FFFFFF
11249.,198,S20,,,2,,00AFF0,FFFFFF
1125.,198,Z72,,,2,,3C3C3C,FFCD28
11250.,198,S20,,,2,,00AFF0,FFFFFF
11251.,198,S20,,,2,,00AFF0,FFFFFF
11252.,198,S20,,,2,,00AFF0,FFFFFF
11253.,198,,IC 720 NAPFÉNY,,2,,,
11254.,198,S20,,,2,,00AFF0,FFFFFF
11259.,198,,IC 718 NAPFÉNY,,2,,,
1126.,198,Z72,,,2,,3C3C3C,FFCD28
11260.,198,,IC 718 NAPFÉNY,,2,,,
11265.,198,,IC 728 NAPFÉNY,,2,,,
11266.,198,,IC 728 NAPFÉNY,,2,,,
11267.,198,,IC 736 NAPFÉNY,,2,,,
11268.,198,,IC 736 NAPFÉNY,,2,,,
11269.,198,,IC 736 NAPFÉNY,,2,,,
1127.,198,Z72,,,2,,3C3C3C,FFCD28
11270.,198,,IC 736 NAPFÉNY,,2,,,
11271.,198,,IC 702 NAPFÉNY,,2,,,
11272.,198,,IC 702 NAPFÉNY,,2,,,
11273.,198,,IC 702 NAPFÉNY,,2,,,
